HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,Referee
Sheffield_United,Luton,2,3,A,21,12,S Allison
Burnley,Liverpool,0,2,A,9,19,P Tierney
Man_United,Aston_Villa,3,2,H,13,10,C Pawson
Brentford,Wolves,1,4,A,14,11,A Madley
Chelsea,Crystal_Palace,2,1,H,9,13,M Salisbury
Everton,Man_City,1,3,A,7,23,J Brooks
Brighton,Tottenham,4,2,H,15,19,J Gillett
Arsenal,West_Ham,0,2,A,30,6,M Oliver
Luton,Chelsea,2,3,A,15,12,P Tierney
Aston_Villa,Burnley,3,2,H,19,9,S Attwell
Crystal_Palace,Brentford,3,1,H,13,9,R Jones
Man_City,Sheffield_United,2,0,H,18,4,D Coote
Wolves,Everton,3,0,H,12,10,T Bramall
Nottingham_Forest,Man_United,2,1,H,8,10,T Robinson
Fulham,Arsenal,2,1,H,15,13,J Smith
Tottenham,Bournemouth,3,1,H,12,24,S Hooper
Liverpool,Newcastle,4,2,H,34,5,A Taylor
West_Ham,Brighton,0,0,D,6,22,S Barrott
Burnley,Luton,1,1,D,13,14,T Harrington
Chelsea,Fulham,1,0,H,17,14,A Taylor
Newcastle,Man_City,2,3,A,12,27,C Kavanagh
Everton,Aston_Villa,0,0,D,10,16,D Coote
Man_United,Tottenham,2,2,D,9,16,J Brooks
Arsenal,Crystal_Palace,5,0,H,21,12,P Tierney
Brentford,Nottingham_Forest,3,2,H,11,12,D England
Sheffield_United,West_Ham,2,2,D,21,16,M Salisbury
Bournemouth,Liverpool,0,4,A,11,14,A Madley
Brighton,Wolves,0,0,D,11,8,C Pawson
Nottingham_Forest,Arsenal,1,2,A,9,19,S Hooper
Fulham,Everton,0,0,D,25,21,T Bramall
Luton,Brighton,4,0,H,18,9,R Jones
Crystal_Palace,Sheffield_United,3,2,H,12,9,T Harrington
Aston_Villa,Newcastle,1,3,A,12,14,J Brooks
Man_City,Burnley,3,1,H,14,8,S Barrott
Tottenham,Brentford,3,2,H,19,9,D Coote
Liverpool,Chelsea,4,1,H,28,4,P Tierney
West_Ham,Bournemouth,1,1,D,9,9,T Robinson
Wolves,Man_United,3,4,A,16,21,J Gillett
Everton,Tottenham,2,2,D,14,9,M Oliver
Brighton,Crystal_Palace,4,1,H,13,7,S Hooper
Burnley,Fulham,2,2,D,12,15,D Bond
Newcastle,Luton,4,4,D,19,11,T Bramall
Sheffield_United,Aston_Villa,0,5,A,10,14,P Tierney
Bournemouth,Nottingham_Forest,1,1,D,9,8,R Welch
Chelsea,Wolves,2,4,A,15,14,T Robinson
Man_United,West_Ham,3,0,H,12,22,A Madley
Arsenal,Liverpool,3,1,H,15,10,A Taylor
Brentford,Man_City,1,3,A,9,25,J Gillett
Man_City,Everton,2,0,H,19,5,J Brooks
Fulham,Bournemouth,3,1,H,7,25,D England
Liverpool,Burnley,3,1,H,25,9,T Robinson
Luton,Sheffield_United,1,3,A,20,7,C Kavanagh
Tottenham,Brighton,2,1,H,16,6,S Barrott
Wolves,Brentford,0,2,A,17,9,S Hooper
Nottingham_Forest,Newcastle,2,3,A,13,7,A Taylor
West_Ham,Arsenal,0,6,A,5,25,C Pawson
Aston_Villa,Man_United,1,2,A,23,17,R Jones
Crystal_Palace,Chelsea,1,3,A,13,14,M Oliver
